,id,title,release_date,budget,genres
49,629,The Usual Suspects,1995-07-19,6000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
51,11448,Mighty Aphrodite,1995-09-13,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
59,11359,The Indian in the Cupboard,1995-07-14,45000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
60,17182,Eye for an Eye,1996-01-12,20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
64,9536,Bio-Dome,1996-01-12,15000000.0,"[{'id': 35, 'name': 'Comedy'}]"
68,10634,Friday,1995-04-26,3500000.0,"[{'id': 35, 'name': 'Comedy'}]"
69,755,From Dusk Till Dawn,1996-01-19,19000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
70,11859,Fair Game,1995-11-03,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
74,36929,Big Bully,1996-01-26,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
75,9102,Screamers,1995-09-08,20000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}]"
78,9623,The Juror,1996-02-02,44000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
80,400,Things to Do in Denver When You're Dead,1995-12-01,8000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
81,880,Antonia's Line,1995-09-12,900000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
85,10534,White Squall,1996-02-02,38000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}]"
86,17414,Dunston Checks In,1996-01-12,16000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
88,2086,Nick of Time,1995-11-22,8169363.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
90,9095,Mary Reilly,1996-02-23,47000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 10749, 'name': 'Romance'}]"
91,12158,Vampire in Brooklyn,1995-10-26,14000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
93,9208,Broken Arrow,1996-02-09,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
95,406,La Haine,1995-05-31,3000000.0,"[{'id': 18, 'name': 'Drama'}]"
99,13685,Bottle Rocket,1996-02-21,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
101,2045,Unforgettable,1996-02-23,18000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
102,9614,Happy Gilmore,1996-02-16,12000000.0,"[{'id': 35, 'name': 'Comedy'}]"
103,688,The Bridges of Madison County,1995-05-28,24000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
108,197,Braveheart,1995-05-24,72000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10752, 'name': 'War'}]"
109,103,Taxi Driver,1976-02-07,1300000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
110,33542,Rumble in the Bronx,1995-01-30,7500000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 53, 'name': 'Thriller'}]"
111,43566,Before and After,1996-02-23,35000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
113,43612,Happiness Is in the Field,1995-01-31,13365000.0,"[{'id': 35, 'name': 'Comedy'}]"
117,78406,Steal Big Steal Little,1995-09-29,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
120,11066,Boomerang,1992-06-30,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
123,2074,Flirting with Disaster,1996-03-22,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
124,27793,The Neverending Story III: Escape from Fantasia,1994-10-26,17000000.0,"[{'id': 14, 'name': 'Fantasy'}]"
130,11863,Jade,1995-10-13,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
138,9302,Up Close & Personal,1996-03-01,60000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
139,11000,The Birdcage,1996-03-08,31000000.0,"[{'id': 35, 'name': 'Comedy'}]"
142,9737,Bad Boys,1995-04-07,19000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}]"
145,22279,An Awfully Big Adventure,1995-07-21,4000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
147,568,Apollo 13,1995-06-30,52000000.0,"[{'id': 18, 'name': 'Drama'}]"
148,11780,Rob Roy,1995-04-13,28000000.0,"[{'id': 12, 'name': 'Adventure'}]"
150,414,Batman Forever,1995-06-16,100000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]"
153,5894,Blue in the Face,1995-09-15,2000000.0,"[{'id': 35, 'name': 'Comedy'}]"
154,1775,Canadian Bacon,1995-06-08,11000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}]"
155,8839,Casper,1995-05-26,50000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
156,20649,Clockers,1995-09-15,25000000.0,"[{'id': 9648, 'name': 'Mystery'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
157,10329,Congo,1995-06-09,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
158,8963,Crimson Tide,1995-05-12,53000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
160,8068,Desperado,1995-08-25,7000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}]"
161,8512,Devil in a Blue Dress,1995-09-15,27000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}]"
162,1572,Die Hard: With a Vengeance,1995-05-19,90000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
165,6520,First Knight,1995-07-07,55000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
167,10428,Hackers,1995-09-14,20000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
169,9886,Johnny Mnemonic,1995-05-26,25000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
170,9482,Judge Dredd,1995-06-30,90000000.0,"[{'id': 878, 'name': 'Science Fiction'}]"
172,9344,Kids,1995-07-28,1500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
173,9071,Living in Oblivion,1995-01-20,500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
177,2293,Mallrats,1995-10-20,6000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}]"
178,9070,Mighty Morphin Power Rangers: The Movie,1995-06-30,15000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
182,1642,The Net,1995-07-28,22000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 9648, 'name': 'Mystery'}, {'id': 53, 'name': 'Thriller'}, {'id': 28, 'name': 'Action'}]"
184,36196,Party Girl,1995-06-09,150000.0,"[{'id': 35, 'name': 'Comedy'}]"
188,10533,The Scarlet Letter,1995-10-13,50000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}, {'id': 10749, 'name': 'Romance'}]"
190,10802,Showgirls,1995-09-22,45000000.0,"[{'id': 18, 'name': 'Drama'}]"
191,10149,Smoke,1995-06-09,7000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
193,9348,Species,1995-07-07,35000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}]"
195,281,Strange Days,1995-10-13,42000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
197,79593,The Tie That Binds,1995-09-08,14000000.0,"[{'id': 53, 'name': 'Thriller'}]"
201,3512,Under Siege 2: Dark Territory,1995-07-13,60000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
204,9560,A Walk in the Clouds,1995-08-11,20000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
205,9804,Waterworld,1995-07-28,175000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}]"
206,31611,White Man's Burden,1995-12-01,8000000.0,"[{'id': 18, 'name': 'Drama'}]"
207,65796,Wild Bill,1995-12-01,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]"
210,50797,Burnt by the Sun,1994-05-01,2800000.0,"[{'id': 18, 'name': 'Drama'}]"
212,76,Before Sunrise,1995-01-27,2500000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
213,11017,Billy Madison,1995-02-10,10000000.0,"[{'id': 35, 'name': 'Comedy'}]"
215,9382,Boys on the Side,1995-02-03,21000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
219,2292,Clerks,1994-09-13,27000.0,"[{'id': 35, 'name': 'Comedy'}]"
220,1909,Don Juan DeMarco,1994-10-01,25000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
221,8984,Disclosure,1994-12-09,55000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}, {'id': 10749, 'name': 'Romance'}]"
223,4954,Drop Zone,1994-12-08,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
227,8467,Dumb and Dumber,1994-12-16,16000000.0,"[{'id': 35, 'name': 'Comedy'}]"
231,522,Ed Wood,1994-09-27,18000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
236,27303,Hideaway,1995-03-03,15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
242,14275,Hoop Dreams,1994-09-12,700000.0,"[{'id': 99, 'name': 'Documentary'}]"
243,1024,Heavenly Creatures,1994-09-02,5000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}]"
244,17207,Houseguest,1995-01-06,10500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
248,11777,I.Q.,1994-12-24,25000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
249,628,Interview with the Vampire,1994-11-11,60000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 10749, 'name': 'Romance'}]"
250,87729,Jefferson in Paris,1995-03-31,14000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
252,6280,Junior,1994-11-22,60000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}]"
255,6071,Kiss of Death,1995-04-21,40000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
256,11,Star Wars,1977-05-25,11000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]"
257,9587,Little Women,1994-12-21,18000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
258,19101,A Little Princess,1995-05-10,17000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]"
260,17961,L'Enfer,1994-02-16,10000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
261,18183,Like Water for Chocolate,1992-04-16,2000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
262,4476,Legends of the Fall,1994-12-16,30000000.0,"[{'id': 12, 'name': 'Adventure'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}, {'id': 10752, 'name': 'War'}]"
266,43742,Love Affair,1994-10-21,60000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
267,28313,Losing Isaiah,1995-03-17,17000000.0,"[{'id': 18, 'name': 'Drama'}]"
269,3036,Mary Shelley's Frankenstein,1994-11-04,45000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 27, 'name': 'Horror'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 10749, 'name': 'Romance'}]"
271,24070,Mixed Nuts,1994-12-21,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
275,38722,My Family,1995-05-03,5500000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
278,1945,Nell,1994-12-23,31000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
281,56428,Beyond Bedlam,1994-04-22,4800000.0,"[{'id': 27, 'name': 'Horror'}]"
284,241,Natural Born Killers,1994-08-25,34000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]"
288,6950,Outbreak,1995-03-10,50000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
289,101,Leon: The Professional,1994-09-14,16000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}]"
290,63020,The Perez Family,1995-05-12,11000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
292,680,Pulp Fiction,1994-09-10,8000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
294,25296,Pushing Hands,1992-02-01,400000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
299,12106,The Quick and the Dead,1995-02-09,32000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 37, 'name': 'Western'}]"
300,161495,Roommates,1995-03-01,22000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
301,3586,Prêt-à-Porter,1994-12-23,15000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}]"
309,22586,The Swan Princess,1994-11-18,35000000.0,"[{'id': 16, 'name': 'Animation'}]"
311,2636,The Specialist,1994-10-07,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
312,2164,Stargate,1994-10-27,55000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 878, 'name': 'Science Fiction'}]"
313,11395,The Santa Clause,1994-11-10,22000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
314,278,The Shawshank Redemption,1994-09-23,25000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 80, 'name': 'Crime'}]"
322,9067,Tank Girl,1995-03-31,25000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 14, 'name': 'Fantasy'}, {'id': 878, 'name': 'Science Fiction'}]"
324,193,Star Trek: Generations,1994-11-17,38000000.0,"[{'id': 878, 'name': 'Science Fiction'}, {'id': 28, 'name': 'Action'}, {'id': 12, 'name': 'Adventure'}, {'id': 53, 'name': 'Thriller'}]"
325,25066,Tales from the Hood,1995-05-24,6000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}]"
330,36141,The Underneath,1995-04-28,6500000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}]"
332,1587,What's Eating Gilbert Grape,1993-12-17,11000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 18, 'name': 'Drama'}]"
333,9271,Virtuosity,1995-08-04,30000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 80, 'name': 'Crime'}, {'id': 878, 'name': 'Science Fiction'}, {'id': 53, 'name': 'Thriller'}]"
334,2064,While You Were Sleeping,1995-04-21,17000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
337,236,Muriel's Wedding,1994-09-29,3000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
339,3049,Ace Ventura: Pet Detective,1994-02-04,15000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 9648, 'name': 'Mystery'}]"
342,10497,Bitter Moon,1992-09-02,5000000.0,"[{'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
344,9331,Clear and Present Danger,1994-08-03,62000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
345,10731,The Client,1994-07-20,45000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}, {'id': 80, 'name': 'Crime'}, {'id': 9648, 'name': 'Mystery'}]"
348,9495,The Crow,1994-05-11,15000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 28, 'name': 'Action'}, {'id': 53, 'name': 'Thriller'}]"
350,888,The Flintstones,1994-05-26,46000000.0,"[{'id': 14, 'name': 'Fantasy'}, {'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
351,13,Forrest Gump,1994-07-06,55000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
352,712,Four Weddings and a Funeral,1994-03-09,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10749, 'name': 'Romance'}]"
355,10879,I Love Trouble,1994-06-29,45000000.0,"[{'id': 28, 'name': 'Action'}, {'id': 35, 'name': 'Comedy'}, {'id': 10749, 'name': 'Romance'}]"
359,8587,The Lion King,1994-06-23,45000000.0,"[{'id': 10751, 'name': 'Family'}, {'id': 16, 'name': 'Animation'}, {'id': 18, 'name': 'Drama'}]"
360,1689,Little Buddha,1993-12-01,35000000.0,"[{'id': 18, 'name': 'Drama'}, {'id': 36, 'name': 'History'}]"
361,11596,New Nightmare,1994-10-13,14000000.0,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 9648, 'name': 'Mystery'}, {'id': 14, 'name': 'Fantasy'}]"
362,854,The Mask,1994-07-29,23000000.0,"[{'id': 10749, 'name': 'Romance'}, {'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}, {'id': 14, 'name': 'Fantasy'}]"
365,36593,The Naked Gun 33⅓: The Final Insult,1994-03-18,30000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]"
366,12280,The Paper,1994-03-18,6000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}]"
367,2788,Reality Bites,1994-02-18,11500000.0,"[{'id': 18, 'name': 'Drama'}]"
368,10427,Red Rock West,1993-07-08,8000000.0,"[{'id': 80, 'name': 'Crime'}, {'id': 18, 'name': 'Drama'}, {'id': 53, 'name': 'Thriller'}]"
369,11011,Ri¢hie Ri¢h,1994-12-19,40000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 10751, 'name': 'Family'}]"
